Game File,Game Date,Pitching Team,Hitting Team,Pitcher,Batter,Inning,Plate Appearance,Play,Play Type,Outs,New BaseOut State,Pitch Sequence,Batter Handedness,Pitcher Handedness,Runs Scored On Play,Runs Charged To,Game Location (Hitting),Game Location (Pitching),Previous BaseOut State,Next Outs,Outs on Play,All Counts,Inning Number,Grouped Play Type,Is Pinch Hitter
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Connor Kiefer,T1,1,Connor Kiefer flied out to cf (0-1 K).,F8,0,___,KP,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '0-1']",1,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Trent Malone,T1,2,Trent Malone popped up to 1b (0-1 K).,P3,1,___,KP,R,R,0,[],Away,Home,___,2.0,1.0,"['0-0', '0-1']",1,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Gavy Perez-Torres,T1,3,Gavy Perez-Torres doubled (0-0).,2B,2,_2_,N/A,R,R,0,[],Away,Home,___,2.0,0.0,['Unknown'],1,Double,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jontae Hennesy,T1,4,Jontae Hennesy popped up to 1b (0-0).,P3,2,_2_,N/A,R,R,0,[],Away,Home,_2_,3.0,1.0,['Unknown'],1,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Luke Hyzdu,B1,5,Luke Hyzdu grounded out to 3b (2-0 BB).,5-3,0,___,BBP,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '1-0', '2-0']",1,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Cade Labruyere,B1,6,Cade Labruyere singled (0-0).,1B,1,1__,N/A,L,R,0,[],Home,Away,___,2.0,1.0,['Unknown'],1,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Trevor Durr,B1,8,Trevor Durr walked (3-1 BBBKB).,BB,2,1__,BBBKB,L,R,0,[],Home,Away,1__,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1']",1,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,James Prockish,B1,9,James Prockish struck out swinging (1-2 FBFS).,KS,2,1__,FBFS,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '0-1', '1-1', '1-2']",1,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Hal Perez,T2,10,Hal Perez singled (0-1 K).,1B,0,1__,KP,R,R,0,[],Away,Home,___,0.0,0.0,"['0-0', '0-1']",2,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Sloan Laird,T2,11,Sloan Laird grounded out to 2b (0-0); Hal Perez advanced to second.,4-3,0,_2_,N/A,L,R,0,[],Away,Home,1__,1.0,1.0,['Unknown'],2,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Angel Faras,T2,12,Angel Feras flied out to rf (1-2 SKB).,F9,1,_2_,SKBP,R,R,0,[],Away,Home,_2_,2.0,1.0,"['0-0', '0-1', '0-2', '1-2']",2,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jaymon Cervantes,T2,13,Jaymon Cervantes flied out to ss (1-0 B).,F6,2,_2_,BP,R,R,0,[],Away,Home,_2_,3.0,1.0,"['0-0', '1-0']",2,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Michael Prisco,B2,14,Michael Prisco grounded out to ss (1-1 BK).,6-3,0,___,BKP,L,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '1-0', '1-1']",2,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Zach Tallerman,B2,15,Zach Tallerman singled (1-1 SB).,1B,1,1__,SBP,R,R,0,[],Home,Away,___,1.0,0.0,"['0-0', '0-1', '1-1']",2,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Baron Brack,B2,16,Baron Brack flied out to lf (2-1 FBB).,F7,1,1__,FBBP,L,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '0-1', '1-1', '2-1']",2,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Jaiden Proper,B2,17,Jaiden Proper struck out looking (1-2 BKKK).,KL,2,1__,BKKK,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '1-0', '1-1', '1-2']",2,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Ty Murray,T3,18,Ty Murray flied out to rf (0-0).,F9,0,___,N/A,R,R,0,[],Away,Home,___,1.0,1.0,['Unknown'],3,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Connor Kiefer,T3,19,Connor Kiefer walked (3-0 BBBB).,BB,1,1__,BBBB,R,R,0,[],Away,Home,___,1.0,0.0,"['0-0', '1-0', '2-0', '3-0']",3,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Trent Malone,T3,20,Trent Malone struck out looking (0-2 FKK).,KL,1,1__,FKK,R,R,0,[],Away,Home,1__,2.0,1.0,"['0-0', '0-1', '0-2']",3,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Gavy Perez-Torres,T3,21,"Gavy Perez-Torres doubled, RBI (1-2 FBF); Connor Kiefer scored.",2B RBI1,2,_2_,FBFP,R,R,1,['Jaiden Proper'],Away,Home,1__,2.0,0.0,"['0-0', '0-1', '1-1', '1-2']",3,Double,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jontae Hennesy,T3,22,Jontae Hennesy singled (1-0 B); Gavy Perez-Torres advanced to third.,1B,2,1_3,BP,R,R,0,[],Away,Home,_2_,2.0,0.0,"['0-0', '1-0']",3,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Hal Perez,T3,23,Hal Perez popped up to 1b (0-0).,P3,2,1_3,N/A,R,R,0,[],Away,Home,1_3,3.0,1.0,['Unknown'],3,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Julian Aguilera,B3,24,Julian Aguilera popped up to 1b (0-2 KF).,P3,0,___,KFP,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '0-2']",3,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Luke Hyzdu,B3,25,Luke Hyzdu flied out to rf (1-1 BF).,F9,1,___,BFP,R,R,0,[],Home,Away,___,2.0,1.0,"['0-0', '1-0', '1-1']",3,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Cade Labruyere,B3,26,Cade Labruyere grounded out to p (0-0).,1-3,2,___,N/A,L,R,0,[],Home,Away,___,3.0,1.0,['Unknown'],3,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Sloan Laird,T4,27,Sloan Laird grounded out to 2b (2-0 BB).,4-3,0,___,BBP,L,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '1-0', '2-0']",4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Angel Faras,T4,28,Angel Feras grounded out to ss (0-1 S).,6-3,1,___,SP,R,R,0,[],Away,Home,___,2.0,1.0,"['0-0', '0-1']",4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jaymon Cervantes,T4,29,Jaymon Cervantes grounded out to 3b (2-1 BKB).,5-3,2,___,BKBP,R,R,0,[],Away,Home,___,3.0,1.0,"['0-0', '1-0', '1-1', '2-1']",4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Trevor Durr,B4,30,Trevor Durr flied out to lf (0-0).,F7,0,___,P,L,R,0,[],Home,Away,___,1.0,1.0,['0-0'],4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,James Prockish,B4,31,James Prockish flied out to cf (1-1 KB).,F8,1,___,KBP,R,R,0,[],Home,Away,___,2.0,1.0,"['0-0', '0-1', '1-1']",4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Michael Prisco,B4,32,Michael Prisco grounded out to ss (0-2 KFF).,6-3,2,___,KFFP,L,R,0,[],Home,Away,___,3.0,1.0,"['0-0', '0-1', '0-2']",4,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Ty Murray,T5,33,Ty Murray flied out to rf (0-1 K).,F9,0,___,KP,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '0-1']",5,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Connor Kiefer,T5,34,Connor Kiefer walked (3-1 BBKBB).,BB,1,1__,BBKBB,R,R,0,[],Away,Home,___,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1']",5,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Trent Malone,T5,35,Trent Malone struck out swinging (0-2 KFS).,KS,1,1__,KFS,R,R,0,[],Away,Home,1__,2.0,1.0,"['0-0', '0-1', '0-2']",5,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Gavy Perez-Torres,T5,36,Gavy Perez-Torres reached on a fielder's choice (1-2 FFB); Connor Kiefer out at second ss to 2b.,FC,2,1__,FFBP,R,R,0,[],Away,Home,1__,3.0,1.0,"['0-0', '0-1', '0-2', '1-2']",5,Fielders Choice,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Zach Tallerman,B5,37,Zach Tallerman grounded out to ss (2-2 KBBF).,6-3,0,___,KBBFP,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2']",5,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Baron Brack,B5,38,Baron Brack walked (3-0 BBBB).,BB,1,1__,BBBB,L,R,0,[],Home,Away,___,1.0,0.0,"['0-0', '1-0', '2-0', '3-0']",5,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Jaiden Proper,B5,39,Jaiden Proper struck out looking (1-2 FBKK).,KL,1,1__,FBKK,R,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '0-1', '1-1', '1-2']",5,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Julian Aguilera,B5,40,Julian Aguilera flied out to rf (0-1 K).,F9,2,1__,KP,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '0-1']",5,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jontae Hennesy,T6,41,Jontae Hennesy singled (0-0).,1B,0,1__,N/A,R,R,0,[],Away,Home,___,0.0,0.0,['Unknown'],6,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Hal Perez,T6,42,Hal Perez flied out to cf (2-0 BB).,F8,0,1__,BBP,R,R,0,[],Away,Home,1__,2.0,2.0,"['0-0', '1-0', '2-0']",6,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Sloan Laird,T6,44,Sloan Laird flied out to cf (0-0).,F8,2,1__,N/A,L,R,0,[],Away,Home,1__,3.0,1.0,['Unknown'],6,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Luke Hyzdu,B6,45,Luke Hyzdu doubled (0-0).,2B,0,_2_,N/A,R,R,0,[],Home,Away,___,0.0,0.0,['Unknown'],6,Double,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Cade Labruyere,B6,46,Cade Labruyere grounded out to 3b (0-0); Luke Hyzdu advanced to third.,5-3,0,__3,P,L,R,0,[],Home,Away,_2_,1.0,1.0,['0-0'],6,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Trevor Durr,B6,47,Trevor Durr walked (3-1 BBFBB).,BB,1,1_3,BBFBB,L,R,0,[],Home,Away,__3,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1']",6,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,James Prockish,B6,48,James Prockish grounded out to 2b (2-2 FBFB); Trevor Durr out at second 3b to 2b.,4-3,1,__3,FBFBP,R,R,0,[],Home,Away,1_3,3.0,2.0,"['0-0', '0-1', '1-1', '1-2', '2-2']",6,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Angel Faras,T7,49,Angel Feras flied out to cf (1-0 B).,F8,0,___,BP,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '1-0']",7,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jaymon Cervantes,T7,50,Jaymon Cervantes walked (3-2 BBSBKFB).,BB,1,1__,BBSBKFB,R,R,0,[],Away,Home,___,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2']",7,Walk,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Ty Murray,T7,51,Ty Murray struck out looking (0-2 SKK).,KL,1,1__,SKK,R,R,0,[],Away,Home,1__,2.0,1.0,"['0-0', '0-1', '0-2']",7,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Connor Kiefer,T7,52,Connor Kiefer struck out swinging (0-2 FKS).,KS,2,1__,FKS,R,R,0,[],Away,Home,1__,3.0,1.0,"['0-0', '0-1', '0-2']",7,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Michael Prisco,B7,53,Michael Prisco hit by pitch (3-2 BSBKH).,HP,0,1__,BSBKH,L,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2']",7,Hit By Pitch,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Zach Tallerman,B7,55,Zach Tallerman struck out swinging (2-2 KBBFFS).,KS,0,1__,KBBFFS,R,R,0,[],Home,Away,1__,1.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2']",7,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Baron Brack,B7,56,Baron Brack struck out swinging (1-2 FFBS).,KS,1,1__,FFBS,L,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '0-1', '0-2', '1-2']",7,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Jaiden Proper,B7,57,Jaiden Proper struck out looking (0-2 SKS).,KL,2,1__,SKS,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '0-1', '0-2']",7,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Trent Malone,T8,58,Trent Malone flied out to rf (0-1 K).,F9,0,___,KP,R,R,0,[],Away,Home,___,1.0,1.0,"['0-0', '0-1']",8,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Gavy Perez-Torres,T8,59,Gavy Perez-Torres singled (0-0).,1B,1,1__,N/A,R,R,0,[],Away,Home,___,1.0,0.0,['Unknown'],8,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Jontae Hennesy,T8,60,Jontae Hennesy flied out to rf (2-2 BBKF).,F9,1,1__,BBKFP,R,R,0,[],Away,Home,1__,2.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2']",8,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,ALPINE,TUCSON,Jaiden Proper,Hal Perez,T8,62,Hal Perez struck out looking (3-2 KFBBBK).,KL,2,1__,KFBBBK,R,R,0,[],Away,Home,1__,3.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2']",8,Strikeout,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Julian Aguilera,B8,63,Julian Aguilera flied out to cf (3-2 BBFBF).,F8,0,___,BBFBFP,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2']",8,Out,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Luke Hyzdu,B8,64,Luke Hyzdu singled (1-1 KB).,1B,1,1__,KBP,R,R,0,[],Home,Away,___,1.0,0.0,"['0-0', '0-1', '1-1']",8,Single,False
boxscore_20260609-1021_ejnteoewlklf31hb.xml,6/9/2026,TUCSON,ALPINE,Jaymon Cervantes,Cade Labruyere,B8,66,Cade Labruyere reached first on an error by 3b (3-2 BBKFBF); Luke Hyzdu advanced to third.,E5,1,1_3,BBKFBFP,L,R,0,[],Home,Away,1__,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2']",8,Reached on Error,False
